timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-21,190.0200,196.3300,189.8100,195.0900,195.0900,50939575,0.0000,1.0000
2019-03-20,186.2300,189.4900,184.7300,188.1600,188.1600,31035231,0.0000,1.0000
2019-03-19,188.3500,188.9900,185.9200,186.5300,186.5300,31646369,0.0000,1.0000
2019-03-18,185.8000,188.3900,185.7900,188.0200,188.0200,26219832,0.0000,1.0000
2019-03-15,184.8500,187.3300,183.7400,186.1200,186.1200,39042912,0.0000,1.0000
2019-03-14,183.9000,184.1000,182.5600,183.7300,183.7300,23579508,0.0000,1.0000
2019-03-13,182.2500,183.3000,180.9200,181.7100,181.7100,31032524,0.0000,1.0000
2019-03-12,180.0000,182.6700,179.3700,180.9100,180.9100,32467584,0.0000,1.0000
2019-03-11,175.4900,179.1200,175.3500,178.9000,178.9000,32011034,0.0000,1.0000
2019-03-08,170.3200,173.0700,169.5000,172.9100,172.9100,23999358,0.0000,1.0000
2019-03-07,173.8700,174.4400,172.0200,172.5000,172.5000,24796374,0.0000,1.0000
2019-03-06,174.6700,175.4900,173.9400,174.5200,174.5200,20810384,0.0000,1.0000
2019-03-05,175.9400,176.0000,174.5400,175.5300,175.5300,19737419,0.0000,1.0000
2019-03-04,175.6900,177.7500,173.9700,175.8500,175.8500,27436203,0.0000,1.0000
2019-03-01,174.2800,175.1500,172.8900,174.9700,174.9700,25886167,0.0000,1.0000
2019-02-28,174.3200,174.9100,172.9200,173.1500,173.1500,28215416,0.0000,1.0000
2019-02-27,173.2100,175.0000,172.7300,174.8700,174.8700,27835389,0.0000,1.0000
2019-02-26,173.7100,175.3000,173.1732,174.3300,174.3300,17070211,0.0000,1.0000
2019-02-25,174.1600,175.8700,173.9500,174.2300,174.2300,21873358,0.0000,1.0000
2019-02-22,171.5800,173.0000,171.3800,172.9700,172.9700,18913154,0.0000,1.0000
2019-02-21,171.8000,172.3700,170.3000,171.0600,171.0600,17249670,0.0000,1.0000
2019-02-20,171.1900,173.3200,170.9900,172.0300,172.0300,26114362,0.0000,1.0000
2019-02-19,169.7100,171.4400,169.4900,170.9300,170.9300,18972826,0.0000,1.0000
2019-02-15,171.2500,171.7000,169.7500,170.4200,170.4200,24626814,0.0000,1.0000
2019-02-14,169.7100,171.2615,169.3800,170.8000,170.8000,21835747,0.0000,1.0000
2019-02-13,171.3900,172.4800,169.9200,170.1800,170.1800,22490233,0.0000,1.0000
2019-02-12,170.1000,171.0000,169.7000,170.8900,170.8900,22283523,0.0000,1.0000
2019-02-11,171.0500,171.2100,169.2500,169.4300,169.4300,20993425,0.0000,1.0000
2019-02-08,168.9900,170.6600,168.4200,170.4100,170.4100,23819966,0.7300,1.0000
2019-02-07,172.4000,173.9400,170.3400,170.9400,170.2109,31741690,0.0000,1.0000
2019-02-06,174.6500,175.5700,172.8531,174.2400,173.4968,28239591,0.0000,1.0000
2019-02-05,172.8600,175.0800,172.3501,174.1800,173.4370,36101628,0.0000,1.0000
2019-02-04,167.4100,171.6550,167.2800,171.2500,170.5195,31495582,0.0000,1.0000
2019-02-01,166.9600,168.9800,165.9300,166.5200,165.8097,32668138,0.0000,1.0000
2019-01-31,166.1100,169.0000,164.5600,166.4400,165.7300,40739649,0.0000,1.0000
2019-01-30,163.2500,166.1500,160.2300,165.2500,164.5451,61109780,0.0000,1.0000
2019-01-29,156.2500,158.1300,154.1100,154.6800,154.0202,41587239,0.0000,1.0000
2019-01-28,155.7900,156.3300,153.6600,156.3000,155.6333,26192058,0.0000,1.0000
2019-01-25,155.4800,158.1300,154.3200,157.7600,157.0871,33547893,0.0000,1.0000
2019-01-24,154.1100,154.4800,151.7400,152.7000,152.0487,25441549,0.0000,1.0000
2019-01-23,154.1500,155.1400,151.7000,153.9200,153.2635,23130570,0.0000,1.0000
2019-01-22,156.4100,156.7300,152.6200,153.3000,152.6461,30393970,0.0000,1.0000
2019-01-18,157.5000,157.8800,155.9806,156.8200,156.1511,33751023,0.0000,1.0000
2019-01-17,154.2000,157.6600,153.2600,155.8600,155.1952,29821160,0.0000,1.0000
2019-01-16,153.0800,155.8800,153.0000,154.9400,154.2791,30569706,0.0000,1.0000
2019-01-15,150.2700,153.3900,150.0500,153.0700,152.4171,28710324,0.0000,1.0000
